,RoILeft,RoITop,RoIWidth,RoIHeight,RoILaplacian,blobArea,blobPerimeter,blobAvgIntensity
0,66,266,76,178,3260,1379,480,26
1,453,266,180,178,4719,952,688,39
2,800,266,154,178,4358,1065,636,31
3,94,279,15,12,121,34,33,111
4,302,278,30,22,449,35,74,95
5,1452,279,26,15,274,17,59,91
6,571,282,16,14,137,46,36,128
7,1173,291,27,21,295,22,59,107
8,556,296,16,16,162,45,36,126
9,256,299,22,20,280,41,51,106
10,224,302,23,28,326,20,62,111
11,465,305,13,14,121,60,33,122
12,812,304,8,11,61,47,24,125
13,186,307,20,30,393,36,68,96
14,1450,307,27,18,291,18,63,101
15,1306,315,9,14,75,45,30,96
16,818,317,15,15,147,54,39,126
17,521,320,16,16,173,49,43,126
18,106,324,14,15,129,33,32,117
19,1176,325,16,18,170,26,37,113
20,1022,326,11,16,113,47,33,121
21,1049,327,15,15,148,50,36,117
22,866,329,42,28,530,25,94,116
23,376,330,17,16,169,36,39,124
24,85,333,14,14,125,29,33,115
25,486,335,29,31,467,35,82,112
26,255,338,14,15,146,51,35,121
27,1451,338,13,13,113,27,31,110
28,1348,349,15,14,136,31,33,111
29,1425,350,14,14,137,31,36,111
30,78,353,10,12,85,43,28,113
31,348,355,15,16,160,40,35,125
32,1397,357,14,15,134,23,36,110
33,119,359,10,14,102,24,31,114
34,575,359,19,17,212,45,46,114
35,1022,360,10,14,94,43,30,121
36,525,363,16,16,172,43,40,126
37,830,364,16,15,163,46,38,128
38,186,370,21,24,284,14,59,113
39,323,370,16,16,160,39,37,120
40,872,370,15,15,149,35,37,125
41,1310,370,16,15,133,20,36,110
42,245,372,22,29,326,23,62,109
43,1353,377,15,14,116,17,33,112
44,112,383,13,14,114,23,31,118
45,586,383,16,15,148,46,36,123
46,1205,385,16,19,191,40,49,97
47,1336,385,17,15,130,23,1,109
48,465,387,13,15,139,58,37,120
49,836,387,16,15,156,64,36,121
50,875,388,16,17,150,37,45,122
51,1482,391,13,12,105,19,34,109
52,1035,393,15,16,143,34,34,118
53,1420,392,14,14,133,27,32,110
54,1157,402,31,23,430,34,69,99
55,1022,404,11,13,81,22,29,119
56,1363,406,24,25,242,10,76,110
57,1494,406,11,14,99,30,32,84
58,80,409,24,21,300,20,55,108
59,1471,410,10,21,123,19,8,102
60,479,413,14,15,142,47,36,122
61,859,413,16,16,170,52,37,118
62,529,414,14,19,178,70,46,104
63,553,415,16,15,166,16,44,129
64,1120,417,13,12,117,42,37,115
65,298,420,15,12,127,45,35,117
66,1396,423,12,10,81,30,30,98
67,66,482,76,239,4099,1113,602,8
68,185,494,12,12,82,34,30,96
69,929,494,11,10,75,65,26,116
70,1022,495,11,10,80,31,27,116
71,1157,495,14,13,128,45,34,109
72,1335,495,14,11,115,35,34,100
73,516,497,16,15,156,39,36,123
74,1417,497,14,13,130,26,34,102
75,481,511,22,28,433,44,65,93
76,538,513,16,16,178,40,41,122
77,882,512,15,15,151,49,36,117
78,87,515,14,14,121,19,33,116
79,1309,516,12,14,107,27,33,111
80,311,520,15,14,137,32,35,119
81,1027,525,15,16,148,35,36,117
82,1131,528,15,16,156,31,37,113
83,294,534,14,14,130,35,34,114
84,1314,535,14,13,112,25,31,108
85,1400,535,13,14,115,28,31,106
86,238,537,15,15,150,31,37,117
87,1349,538,15,13,123,25,31,108
88,1439,539,30,15,265,24,64,95
89,79,541,10,11,76,24,26,114
90,315,547,14,14,140,44,37,117
91,493,549,21,15,222,49,45,111
92,343,550,15,15,158,46,39,120
93,1192,551,21,13,146,13,47,117
94,1081,553,16,16,172,29,40,114
95,264,559,15,15,142,27,34,121
96,1428,564,16,14,116,14,38,108
97,814,569,14,15,133,49,34,119
98,1308,570,10,14,98,28,31,108
99,1128,576,18,21,264,58,49,95
100,376,579,16,16,150,25,36,123
101,1184,578,25,47,542,11,113,101
102,186,580,18,14,188,49,42,101
103,886,580,17,15,171,46,40,118
104,323,582,40,41,579,11,96,103
105,584,584,21,25,293,27,56,109
106,1337,587,15,14,121,32,34,108
107,85,589,13,13,112,30,31,113
108,1211,595,10,24,161,33,49,95
109,1163,597,15,24,228,34,49,97
110,1022,599,12,21,183,52,44,98
111,187,603,14,11,101,30,29,116
112,399,602,14,16,144,35,37,113
113,925,602,17,15,171,36,44,112
114,1061,602,19,23,248,28,51,106
115,1417,606,18,13,122,17,41,106
116,847,609,17,16,179,35,41,120
117,1491,610,12,13,103,22,31,101
118,238,613,15,13,121,30,30,117
119,472,613,16,15,159,31,41,122
120,1342,614,15,14,121,24,33,108
121,252,619,27,26,285,15,1,116
122,878,620,17,17,187,26,38,122
123,1307,620,8,25,135,54,52,88
124,1027,624,22,18,211,24,48,104
125,1104,632,15,14,136,35,33,115
126,370,636,22,38,494,29,85,97
127,192,639,29,26,397,18,70,101
128,1375,643,29,13,252,25,2,100
129,1066,645,22,23,347,37,61,91
130,573,649,16,27,297,61,57,101
131,1118,652,18,19,172,19,7,110
132,1369,653,13,19,114,12,43,107
133,1183,657,15,14,134,27,33,111
134,1420,657,16,15,142,18,36,102
135,322,663,16,14,136,35,36,116
136,1048,667,13,14,115,33,30,111
137,1383,666,20,12,132,18,1,101
138,1128,669,22,17,246,43,48,93
139,1085,673,14,14,126,26,34,112
140,486,675,29,31,443,25,80,101
141,1030,679,16,25,279,37,53,97
142,1329,678,14,13,107,24,29,105
143,278,683,15,14,140,29,35,117
144,1385,691,16,14,123,17,35,104
145,1167,692,17,14,146,22,38,110
146,1318,696,13,12,99,26,30,106
147,867,700,13,9,83,45,29,109
148,894,701,13,8,75,35,29,117
149,66,779,76,227,3936,1008,578,14
150,503,794,15,27,286,34,63,103
151,533,799,16,13,136,29,34,118
152,1140,801,15,13,117,20,35,108
153,1042,811,16,16,188,40,41,100
154,1416,811,16,10,98,12,34,106
155,315,812,20,26,258,15,59,110
156,1431,817,38,17,222,7,89,98
157,481,818,20,14,205,39,48,99
158,813,818,24,25,287,17,61,109
159,1202,818,14,13,123,27,32,108
160,1131,827,12,12,93,34,27,106
161,1398,828,15,12,119,18,31,99
162,906,833,15,14,133,31,33,111
163,343,835,16,13,114,19,33,113
164,467,834,12,12,104,41,30,108
165,589,835,15,13,131,45,33,113
166,1049,835,16,24,251,35,55,96
167,1457,835,18,12,126,9,42,89
168,202,838,51,30,675,12,138,97
169,284,842,14,13,117,25,33,111
170,1338,843,14,14,126,20,33,100
171,1142,845,16,14,128,19,36,104
172,831,846,15,13,129,33,34,112
173,1395,853,21,22,284,9,1,90
174,98,857,13,13,106,23,31,101
175,1441,856,14,12,97,13,30,98
176,1470,858,25,14,232,12,57,86
177,1193,863,18,13,140,15,41,106
178,1062,864,16,15,132,19,36,106
179,273,866,17,22,238,32,48,93
180,879,868,15,14,139,32,35,112
181,1102,871,14,13,117,29,31,106
182,299,878,27,13,259,31,59,106
183,586,879,16,13,127,31,35,114
184,822,885,17,13,141,25,39,110
185,934,884,8,11,64,38,26,110
186,1023,884,11,15,98,14,34,108
187,508,888,22,17,233,29,49,96
188,1449,889,38,14,219,8,1,94
189,543,892,15,14,132,33,35,112
190,200,898,25,22,251,12,55,104
191,1034,907,14,13,121,37,33,102
192,1324,910,17,15,132,13,44,99
193,1389,912,25,27,224,6,80,94
194,844,914,15,14,133,28,33,109
195,1161,915,13,13,110,21,30,103
196,95,916,15,13,104,15,32,105
197,522,917,13,13,108,47,30,108
198,465,919,44,29,583,12,2,93
199,1443,920,15,29,179,6,2,92
200,883,925,16,13,130,29,34,107
201,119,931,10,21,139,16,43,96
202,217,935,17,16,178,11,41,109
203,1029,934,36,37,618,14,132,86
204,313,946,16,13,122,19,35,110
205,467,947,11,13,104,21,31,104
206,98,950,12,26,241,22,54,93
207,508,950,15,14,134,21,35,110
208,385,953,13,13,116,29,31,106
209,596,953,15,12,123,30,32,109
210,1114,959,27,16,252,23,55,94
211,1394,959,16,12,122,10,1,92
212,200,963,16,18,179,21,41,97
213,839,963,30,21,290,13,69,107
214,885,966,15,12,113,28,31,107
215,1182,967,15,13,123,18,32,98
216,517,972,17,20,215,22,49,101
217,337,974,13,12,104,36,31,110
218,1313,974,16,12,124,10,41,98
219,1068,977,13,12,110,21,30,103
220,494,982,13,11,91,30,28,107
221,66,1040,76,172,3156,900,468,15
222,453,1040,180,172,4614,617,676,13
223,800,1040,154,172,4256,630,624,23
224,1053,1053,14,11,99,17,30,95
225,818,1055,16,12,129,22,34,97
226,1366,1056,17,13,126,7,48,92
227,263,1058,14,11,98,15,30,102
228,363,1060,14,14,129,22,33,98
229,878,1060,13,12,106,29,30,95
230,902,1060,14,13,121,26,31,97
231,1097,1063,15,14,138,19,35,92
232,552,1074,15,11,96,12,30,103
233,848,1075,22,18,244,21,49,88
234,98,1077,17,18,165,8,67,96
235,249,1076,14,13,102,9,30,100
236,878,1082,11,11,77,21,27,101
237,916,1083,12,12,96,18,28,103
238,1376,1082,16,11,86,5,40,84
239,1131,1084,28,20,242,7,67,94
240,1358,1085,11,13,72,7,37,91
241,1172,1086,12,11,88,15,27,97
242,1067,1088,16,12,102,8,35,102
243,338,1090,13,12,98,11,30,104
244,554,1093,11,11,70,10,31,106
245,530,1094,14,14,100,12,37,105
246,253,1103,15,17,148,8,1,104
247,814,1103,18,11,144,19,43,95
248,1319,1102,24,17,190,6,59,88
249,353,1109,15,13,117,11,38,102
250,402,1114,10,16,92,9,33,101
251,1195,1114,25,10,97,11,51,94
252,1349,1117,13,14,106,7,43,88
253,889,1120,15,14,124,12,36,98
254,203,1129,15,12,103,8,35,100
255,93,1130,16,13,131,9,38,93
256,566,1130,16,17,170,19,40,94
257,258,1135,14,12,106,12,30,99
258,1310,1134,15,13,97,7,46,90
259,543,1139,14,21,219,21,47,88
260,826,1138,15,13,127,14,34,98
261,1030,1140,12,13,99,9,31,96
262,1120,1140,15,12,89,9,1,97
263,333,1145,13,11,93,12,31,100
264,1093,1145,14,13,123,9,34,96
265,1402,1147,21,14,117,6,2,84
266,93,1151,21,31,281,8,5,86
267,195,1153,23,31,149,4,2,99
268,235,1152,13,12,100,11,31,99
269,335,1170,15,13,105,8,41,98
270,1205,1179,13,14,83,4,44,92
271,815,1189,9,9,59,11,24,97
272,274,1190,13,9,63,13,27,100
